ticker,max_duration_days,max_duration_start_date,max_duration_end_date,avg_turnover,notes,source
TACO,1185,2022-03-08,2025-06-04,6483803,be acquired by Jack in the box,https://www.reuters.com/markets/deals/jack-box-acquire-del-taco-over-450-mln-2021-12-06/
BINI,1144,2022-01-03,2025-02-19,18638985,so much reverse stock splits that the volume becomes 0,
FB,1113,2022-06-09,2025-06-25,5298604671,there is an ETF called FB,
IPOD,969,2022-10-17,2025-06-11,3863443,as a spac company failed to complete a merger and delisted,https://investorplace.com/2022/09/chamath-palihapitiya-is-giving-up-on-ipof-ipod-stocks/
VG,918,2022-07-21,2025-01-23,92663026,unknown reason,
SAIL,912,2022-08-16,2025-02-12,110979564,2022 turn into a private company and back in 2025,https://finance.yahoo.com/news/cybersecurity-firm-sailpoint-returns-to-markets-as-the-first-major-tech-ipo-of-the-year-173318594.html
ASPC,883,2022-08-04,2025-01-02,385099,,
SI,812,2023-05-11,2025-07-30,95484363,,
TOROV,765,2023-03-08,2025-04-10,249326,,
NIQ,758,2023-06-26,2025-07-22,3776195,,
NHIC,722,2023-04-26,2025-04-16,966996,,
ALTM,680,2022-02-23,2024-01-03,67607033,,
ALF,646,2022-10-25,2024-07-31,826288,,
MLAC,599,2023-06-13,2025-01-31,370270,,
CBIO,592,2023-10-31,2025-06-13,1472066,,
TEN,590,2022-11-17,2024-06-28,17956448,,
WSO.B,590,2023-06-21,2025-01-30,189111,,
ABTC,572,2024-02-09,2025-09-02,1521739,,
NESR,543,2023-04-28,2024-10-21,2389622,,
FACT,541,2023-07-18,2025-01-08,950828,,
FGMC,533,2023-08-28,2025-02-10,376003,,
BIO.B,532,2022-06-22,2023-12-05,225454,,
MDUw,513,2023-06-01,2024-10-25,738559,,
FMTO,512,2022-09-23,2024-02-16,2262175,,
HYAC,476,2022-05-27,2023-09-14,930587,,
NXU,453,2022-02-14,2023-05-12,3899342,,
SZZL,450,2024-02-28,2025-05-22,585087,,
GEw,448,2023-01-04,2024-03-26,11187091,,
LION,433,2023-03-08,2024-05-13,3748338,,
EMPD,400,2022-09-09,2023-10-13,5362443,,
ATLN,393,2023-11-14,2024-12-10,656021,,
HHH,390,2022-07-18,2023-08-11,18686267,,
CORZ,386,2023-01-03,2024-01-23,89554820,,
MOG.B,386,2023-07-13,2024-08-01,81994,,
SCHN,382,2022-08-15,2023-08-31,8715713,,
XTIA,382,2022-01-03,2023-01-19,5144259,,
GDEV,381,2022-02-28,2023-03-15,129387,,
WHLR,344,2022-09-07,2023-08-16,7796014,,
VELO,342,2024-09-11,2025-08-18,3664286,,
RAIN,341,2024-01-26,2024-12-31,770143,,
WHLRL,339,2024-08-28,2025-08-01,110057,,
KELYB,317,2023-12-26,2024-11-06,27338,,
TAP.A,314,2023-07-06,2024-05-14,111981,,
AACI,312,2024-08-16,2025-06-23,457352,,
FIEE,311,2024-07-24,2025-05-30,3306853,,
PFSA,298,2024-09-17,2025-07-11,1345070,,
RNAZ,296,2022-01-03,2022-10-25,3750744,,
BDRX,263,2022-01-03,2022-09-22,2928965,,
CRKN,260,2022-01-03,2022-09-19,5147626,,
ADTX,249,2022-01-03,2022-09-08,7201383,,
MAYS,248,2024-04-03,2024-12-06,53907,,
DBGI,245,2024-12-18,2025-08-19,2795299,return NYSE,
LBTYB,238,2022-08-04,2023-03-29,24624,,
SWSS,233,2023-07-06,2024-02-23,308096,,
CLRC,232,2024-05-31,2025-01-17,234759,,
ACON,218,2022-09-16,2023-04-21,3575936,,
VSEE,187,2023-04-10,2023-10-13,1257125,,
RFAC,184,2023-10-23,2024-04-23,406672,,
AINCw,176,2023-06-29,2023-12-21,515605,,
CLBR,175,2023-07-20,2024-01-10,3989536,,
DISA,175,2023-03-30,2023-09-20,761391,,
MNTN,174,2024-11-29,2025-05-21,3310258,,
GTAC,173,2024-02-26,2024-08-16,602156,,
OTEC,173,2023-06-12,2023-12-01,196459,,
SIM,171,2024-01-03,2024-06-21,65120,,
IIVI,168,2022-09-08,2023-02-22,66152682,,
KACL,162,2023-01-05,2023-06-15,254992,,
GATE,161,2024-05-16,2024-10-23,559516,,
GDST,161,2024-08-14,2025-01-21,346885,,
TGVC,161,2023-05-04,2023-10-11,291835,,
LATG,157,2024-04-22,2024-09-25,494681,,
NPAB,157,2023-06-28,2023-12-01,472003,,
NCAC,155,2023-01-20,2023-06-23,634618,,
CERO,150,2023-07-19,2023-12-15,4987035,,
BLEU,147,2023-08-24,2024-01-17,784231,,
GMFI,145,2023-06-26,2023-11-17,402989,,
ALLR,144,2022-01-03,2022-05-26,2693414,,
CNSP,144,2022-07-05,2022-11-25,1846415,,
PPYA,144,2024-08-05,2024-12-26,542741,,
PAFO,142,2022-04-14,2022-09-02,1236563,,
HORI,142,2022-10-17,2023-03-07,1214457,,
VSAC,142,2024-05-15,2024-10-03,269734,,
CLAY,142,2023-02-07,2023-06-28,109911,,
FXCO,139,2023-02-22,2023-07-10,294291,,
QOMO,139,2024-02-22,2024-07-09,183770,,
FLD,138,2024-08-02,2024-12-17,1602450,,
CVU,138,2022-05-20,2022-10-04,147591,,
AENT,137,2023-02-13,2023-06-29,239048,,
STI,136,2022-05-04,2022-09-16,3200288,,
IVCA,135,2024-08-26,2025-01-07,939853,,
CLOE,135,2023-01-17,2023-05-31,132820,,
STEX,133,2024-06-12,2024-10-22,1039909,,
QETA,133,2025-04-11,2025-08-21,374324,,
HVT.A,133,2023-12-21,2024-05-01,14692,,
EMCG,132,2025-03-27,2025-08-05,330104,,
SENEB,130,2025-02-18,2025-06-27,68543,,
DXF,129,2024-09-17,2025-01-23,660014,,
GENQ,129,2022-07-06,2022-11-11,542306,,
YOTA,129,2024-09-17,2025-01-23,289151,,
BNIX,125,2024-09-06,2025-01-08,197872,,
CDT,123,2022-07-01,2022-10-31,2356908,,
GCTK,123,2022-08-22,2022-12-22,1922652,,
JWAC,122,2022-02-16,2022-06-17,1216751,,
CAMP,121,2024-06-12,2024-10-10,995785,,
NOVV,121,2023-01-24,2023-05-24,164720,,
PLAO,120,2024-10-17,2025-02-13,1236758,,
MTRY,119,2023-07-07,2023-11-02,258229,,
XBP,118,2023-04-14,2023-08-09,1137115,,
AQU,115,2024-04-29,2024-08-21,179873,,
DEVS,114,2024-04-25,2024-08-16,2379243,,
SHUA,114,2022-06-22,2022-10-13,389762,,
AVHI,114,2023-02-07,2023-05-31,232530,,
ESAC,112,2023-06-02,2023-09-21,717205,,
DTSQ,112,2025-05-14,2025-09-02,625365,,
ACAQ,112,2023-01-25,2023-05-16,497261,,
FHLT,112,2023-02-14,2023-06-05,288169,,
ATMV,111,2025-04-24,2025-08-12,364252,,
MACA,111,2023-11-02,2024-02-20,212728,,
ESHA,108,2024-12-30,2025-04-16,551436,,
CCTS,108,2023-05-10,2023-08-25,473602,,
SWAG,108,2022-08-30,2022-12-15,237371,,
TGAA,107,2024-08-15,2024-11-29,665156,,
ARYD,107,2023-05-01,2023-08-15,631910,,
HWEL,107,2022-03-15,2022-06-29,623789,,
BWAQ,107,2022-05-12,2022-08-26,536428,,
IOR,107,2024-03-25,2024-07-09,39263,,
HSDT,105,2022-01-19,2022-05-03,1892876,,
AFJK,105,2025-05-21,2025-09-02,480299,,
ACAC,105,2022-08-16,2022-11-28,306280,,
PFXNZ,105,2022-07-15,2022-10-27,50378,,
DPCS,102,2024-06-24,2024-10-03,893462,,
VMCA,101,2023-10-25,2024-02-02,610377,,
FEXD,101,2024-05-07,2024-08-15,414512,,
VBFC,101,2023-02-01,2023-05-12,114004,,
TCOA,100,2022-04-18,2022-07-26,667068,,
AIB,100,2022-05-17,2022-08-24,222941,,
WBUY,99,2025-01-29,2025-05-07,4696883,,
CRZN,99,2022-09-29,2023-01-05,632604,,
ATAQ,99,2023-05-30,2023-09-05,555595,,
TLGY,99,2024-07-16,2024-10-22,520548,,
IGTA,99,2022-03-09,2022-06-15,485900,,
JMAC,99,2022-07-14,2022-10-20,403772,,
ENCP,98,2023-08-22,2023-11-27,374411,,
CNFRL,98,2022-10-13,2023-01-18,56064,,
HWH,97,2022-04-07,2022-07-12,4121063,,
LGST,97,2023-07-26,2023-10-30,766290,,
OCAX,97,2023-03-29,2023-07-03,501610,,
RCAC,96,2022-04-18,2022-07-22,408258,,
BRAC,96,2024-07-26,2024-10-29,265311,,
LSXMB,96,2022-10-06,2023-01-09,31558,,
EDTX,95,2023-02-21,2023-05-26,2163782,,
SFBC,95,2022-11-11,2023-02-13,158451,,
INTG,95,2023-01-31,2023-05-05,92810,,
OPTX,94,2023-06-21,2023-09-22,1441980,,
ACAH,94,2023-06-13,2023-09-14,688917,,
PEPL,94,2023-10-09,2024-01-10,275291,,
PRTC,94,2023-05-31,2023-09-01,90175,,
DGICB,94,2022-01-31,2022-05-04,29988,,
HCMA,93,2023-05-30,2023-08-30,956638,,
ATMC,93,2025-03-17,2025-06-17,319459,,
PEGR,92,2022-06-14,2022-09-13,1049207,,
ALCY,92,2025-05-22,2025-08-21,418294,,
LIVB,92,2023-05-19,2023-08-18,403749,,
HHGC,92,2022-01-13,2022-04-14,277593,,
ALCE,91,2023-08-15,2023-11-13,727061,,
OAKU,91,2025-04-23,2025-07-22,445825,,
SPK,91,2022-02-22,2022-05-23,130357,,
PPHP,91,2024-01-18,2024-04-17,88298,,
ABP,89,2024-04-18,2024-07-15,1073182,,
