ticker,max_duration_days,max_duration_start_date,max_duration_end_date,avg_turnover,notes,source,cut_off_date,counts
AEC,3695,2015-08-07,2025-09-17,14474140,,,,
ACFN,3653,2015-07-24,2025-07-23,315166,,,,
SKK,3560,2015-01-09,2024-10-07,1737771,,,,
RJET,3549,2016-03-08,2025-11-24,8292841,,,,
POM,3485,2016-03-24,2025-10-07,52322920,,,,
NPT,3481,2016-04-11,2025-10-21,1109182,,,,
MFI,3372,2015-01-26,2024-04-19,1790480,,,,
PAL,3310,2015-04-17,2024-05-08,2445530,,,,
MGN,3299,2016-09-14,2025-09-25,237085,,,,
FTVw,3277,2016-07-05,2025-06-24,5071774,,,,
WHLR,3163,2015-01-02,2023-08-30,8288788,,,,
GTI,3133,2015-08-17,2024-03-14,4341009,,,,
GPUS,3058,2015-01-02,2023-05-17,11202823,,,,
ENGN,3024,2015-07-22,2023-10-31,1982994,,,,
CNL,3019,2016-04-14,2024-07-19,14543478,,,,
NCT,3011,2016-12-29,2025-03-27,1474053,,,,
SDA,2997,2015-03-04,2023-05-17,4862618,,,,
LINE,2984,2016-05-24,2024-07-24,44494526,,,,
GRO,2946,2016-11-03,2024-11-26,516201,,,,
NUTR,2914,2017-08-23,2025-08-14,1727085,,,,
LRE,2913,2015-10-06,2023-09-26,696993,,,,
EU,2900,2015-02-12,2023-01-20,4953731,,,,
FTW,2831,2018-01-31,2025-10-31,199134,,,,
JEM,2830,2017-09-07,2025-06-06,1211845,,,,
PBM,2828,2016-04-29,2024-01-25,2287098,,,,
PSIX,2807,2017-04-19,2024-12-24,11842194,,,,
ASTI,2794,2015-01-02,2022-08-26,1381385,,,,
TLN,2773,2016-12-06,2024-07-09,136927711,,,,
CCG,2753,2016-03-03,2023-09-15,2369416,,,,
CAPN,2722,2017-05-12,2024-10-23,746777,,,,
PN,2657,2017-11-24,2025-03-03,1217353,,,,
DHRw,2640,2016-07-05,2023-09-26,5422306,,,,
ONCO,2600,2015-01-06,2022-02-17,4762420,,,,
BMR,2588,2016-01-28,2023-02-27,23565025,,,,
DTI,2542,2015-01-13,2021-12-28,1865946,,,,
CTW,2542,2018-08-21,2025-08-05,796998,,,,
FGL,2518,2017-12-01,2024-10-22,4995309,,,,
PL,2501,2015-02-02,2021-12-07,23992230,,,,
JUNE,2486,2017-06-27,2024-04-16,278868,,,,
NU,2485,2015-02-19,2021-12-08,328674623,,,,
MWG,2446,2016-07-20,2023-03-31,477217,,,,
COCO,2438,2015-02-17,2021-10-20,15137121,,,,
BIOA,2421,2018-02-09,2024-09-25,1237344,,,,
CBK,2359,2019-04-18,2025-10-01,628773,,,,
IBO,2350,2018-04-09,2024-09-13,16644574,,,,
DDw,2336,2019-06-03,2025-10-24,4798567,,,,
AMPS,2300,2015-08-24,2021-12-09,5809953,,,,
BWC,2292,2015-07-01,2021-10-08,6966734,,,,
PHH,2276,2018-10-04,2024-12-26,8286504,,,,
AHL,2274,2019-02-15,2025-05-07,21643648,,,,
INFA,2273,2015-08-07,2021-10-26,41782474,,,,
PRE,2252,2016-03-18,2022-05-17,16418282,,,,
MB,2246,2019-02-15,2025-04-09,12491918,,,,
SURG,2209,2015-10-16,2021-11-01,1350400,,,,
DDC,2206,2017-11-02,2023-11-16,4282302,,,,
IVAN,2188,2015-03-03,2021-02-26,3938897,,,,
GMM,2185,2017-10-16,2023-10-09,1760196,,,,
CYN,2179,2015-11-02,2021-10-19,16014548,,,,
VIEW,2140,2015-04-30,2021-03-08,3462383,,,,
THRX,2096,2016-01-11,2021-10-06,4607790,,,,
RENT,2095,2016-02-01,2021-10-26,6359286,,,,
WRD,2093,2019-02-01,2024-10-24,33822282,,,,
STR,2084,2016-09-19,2022-06-03,21696967,,,,
BBUw,2083,2016-06-20,2022-03-03,124004,,,,
AVX,2054,2020-03-30,2025-11-12,4543395,,,,
