ticker,max_duration_days,max_duration_start_date,max_duration_end_date,avg_turnover,notes,source,cut_off_date,counts
GPUS,3058,2015-01-02,2023-05-17,8452448,,,,
ONCO,2600,2015-01-06,2022-02-17,5051162,,,,
DTI,2542,2015-01-13,2021-12-28,1980993,,,,
XTIA,2151,2017-03-01,2023-01-19,5835345,,,,
PTIC,1840,2017-11-16,2022-11-29,22525329,,,,
HGSH,1829,2017-03-20,2022-03-22,487543,,,,
BRLI,1798,2015-08-20,2020-07-21,3334259,,,,
BLNG,1719,2017-01-03,2021-09-17,305209,,,,
WHLR,1688,2018-01-18,2022-09-01,8082932,,,,
BWIN,1683,2015-03-16,2019-10-23,12711243,,,,
AIB,1637,2017-08-31,2022-02-22,286476,,,,
BDRX,1606,2015-12-07,2020-04-29,5051008,,,,
FIG,1602,2017-12-27,2022-05-16,27976365,,,,
FVE,1578,2017-10-03,2022-01-27,37656584,,,,
TEAD,1394,2017-09-28,2021-07-22,1625716,,,,
GEw,1389,2019-02-26,2022-12-15,14966066,,,,
GLEE,1310,2019-03-15,2022-10-14,97886,,,,
DJT,1274,2018-04-05,2021-09-29,231095704,,,,
BHAC,1267,2018-06-28,2021-12-15,318642,,,,
BINI,1203,2021-11-05,2025-02-19,18638985,so much reverse stock splits that the volume becomes 0,,,
TACO,1185,2022-03-08,2025-06-04,4349286,,,,
AVHI,1142,2018-10-02,2021-11-16,1286207,,,,
FB,1113,2022-06-09,2025-06-25,3921266108,there is an ETF called FB,,,
EVTV,1049,2019-08-22,2022-07-05,438240,,,,
IPOD,969,2022-10-17,2025-06-11,6486632,,,,
BNZI,946,2018-07-12,2021-02-11,1315495,,,,
BRAC,926,2019-08-12,2022-02-22,392404,,,,
VG,918,2022-07-21,2025-01-23,34368727,,,,
SAIL,912,2022-08-16,2025-02-12,52628070,,,,
HIND,898,2018-12-31,2021-06-15,4588035,,,,
LION,892,2019-07-01,2021-12-08,2932626,,,,
COOL,885,2018-09-18,2021-02-18,2114037,,,,
ASPC,883,2022-08-04,2025-01-02,370619,,,,
EMCG,855,2020-05-28,2022-09-29,211336,,,,
SPRU,832,2018-09-12,2020-12-21,56460960,,,,
CPAA,817,2017-07-10,2019-10-04,1688537,,,,
SI,812,2023-05-11,2025-07-30,82300866,,,,
ADTX,801,2020-06-30,2022-09-08,10511446,,,,
TOROV,765,2023-03-08,2025-04-10,249326,,,,
NIQ,758,2023-06-26,2025-07-22,1001073,,,,
BIO.B,743,2015-10-22,2017-11-02,218693,,,,
GOED,739,2020-07-13,2022-07-21,15438950,,,,
NHIC,722,2023-04-26,2025-04-16,1241613,,,,
ALTM,680,2022-02-23,2024-01-03,21843814,,,,
APGN,656,2019-05-06,2021-02-19,611410,,,,
ALF,646,2022-10-25,2024-07-31,21945078,,,,
HSDT,622,2018-04-11,2019-12-23,1854932,,,,
CRKN,601,2021-01-27,2022-09-19,5149700,,,,
MLAC,599,2023-06-13,2025-01-31,561460,,,,
CBIO,592,2023-10-31,2025-06-13,2213395,,,,
TEN,590,2022-11-17,2024-06-28,22154507,,,,
WSO.B,590,2023-06-21,2025-01-30,107375,,,,
ABTC,572,2024-02-09,2025-09-02,3537163,,,,
NESR,543,2023-04-28,2024-10-21,1974373,,,,
FACT,541,2023-07-18,2025-01-08,785960,,,,
FGMC,533,2023-08-28,2025-02-10,376003,,,,
ARQ,520,2015-02-03,2016-07-06,1164275,,,,
MDUw,513,2023-06-01,2024-10-25,738559,,,,
KELYB,513,2018-07-09,2019-12-03,200698,,,,
FMTO,512,2022-09-23,2024-02-16,2262175,,,,
CNTM,505,2021-02-11,2022-06-30,1223746,,,,
HYAC,476,2022-05-27,2023-09-14,1955625,,,,
